Bug-abx,GNR,PsA,AmpC,ESBL,CRE,Steno,CRAB,DTR,MSSA,MRSA,SOSA,Strep,VRE,VSE,anaerobes,Other,PNA,Zoo
NAF,,,,,,,,,good,bad,some,good,,,,,,
AMP,,,bad,,,,,,bad,bad,some,good,some,good,,note,,
Unasyn,some,bad,bad,,,,note,,some,bad,some,good,some,some,good,,,
Augmentin,some,,bad,,,,,,some,bad,some,good,some,some,good,,,
Zosyn,good,good,bad,bad,,,,,some,bad,some,good,some,some,good,,,
CFZ,some,,bad,,,,,,good,bad,some,good,bad,bad,,,,
FOX,some,,bad,,,,,,some,bad,bad,some,bad,bad,some,,,
CRO,good,bad,bad,bad,,,,,some,bad,,good,bad,bad,,note,,
FEP,good,good,good,bad,,,,bad,good,bad,,good,bad,bad,,,,
CPT,some,bad,bad,,,,,,good,good,good,good,bad,bad,,,,
VAN,,,,,,,,,broad,good,good,broad,bad,good,,,,
LZD,,,,,,,,,broad,good,good,broad,good,broad,,,,
DAP,,,,,,,,,broad,good,good,broad,good,broad,,,,
MEM,broad,good,good,good,bad,bad,some,some,broad,bad,,broad,,,good,,,
ETP,broad,bad,good,good,bad,bad,bad,,good,bad,,good,,,good,,,
DOX,some,,,,,some,,,good,good,some,,,,,,good,good
MIN,some,,,,,good,some,,good,good,some,,,,,,good,some
TGC,broad,bad,good,good,good,bad,note,bad,broad,broad,broad,broad,,,some,,broad,broad
MTZ,,,,,,,,,,,,,,,good,,,
CLI,,,,,,,,,some,some,some,some,,,good,,,
ATM,good,good,bad,bad,,note,,,,,,,,,,,,
Aminogly,good,good,good,some,some,,,,note,note,note,note,note,note,,,,
AZM,,,,,,,,,,,,,,,,,good,
Quino,good,some,good,some,,some,some,,some,,,some,,,some,note,good,
TMPSMX,good,,good,some,,good,some,,good,good,good,,,,,note,,
NIT,note,,,note,note,bad,,,,,,,note,note,,,,
FOF,note,bad,note,note,note,bad,,,,,,,note,note,,bad,,
Xacduro,,,,,,,good,,,,,,,,,,,
Vabomere,broad,good,good,good,good,bad,,bad,,,,,,,broad,,,
Recarbrio,broad,good,good,good,good,bad,,good,,,,,,,broad,,,
Zerbaxa,broad,broad,some,good,bad,bad,,good,,,,,,,bad,,,
Avycaz,broad,good,good,good,good,note,,good,,,,,,,bad,,,
Cefiderocol,broad,broad,broad,broad,good,good,note,good,,,,,,,,,,
