Bug-Syndrome,GNR,PsA,AmpC,ESBL,CRE,Steno,CRAB,DTR,MSSA,MRSA,SOSA,Strep,VRE,VSE,anaerobes,Other,PNA,Zoo
Empiric,com,com,com,occ,,,,,com,com,,com,,occ,occ,,,occ
UTI,com,com,com,occ,occ,,,,,,,,occ,occ,,com,,
CAP,com,,occ,,,,,,occ,occ,,com,,,,,com,
HAP,com,com,com,occ,occ,occ,occ,occ,com,com,,com,,,,,,
SSTI,,,,,,,,,com,com,unk,com,,,occ,,,
Foot,occ,occ,,,,,,,com,com,unk,com,,,occ,,,
Osteo,com,com,,,,,,,com,com,occ,com,,,occ,,,
IAI,com,occ,,occ,,,,,occ,occ,,occ,occ,com,com,,,
Hepatobiliary,com,,,,,,,,,,,,occ,com,com,,,
SBP,com,,,,,,,,,,occ,com,,occ,,,,
Meningitis,,,,,,,,,,,,com,,,,com,,
SA,com,occ,,,,,,,com,com,,com,,,,,,
